Emoji unice în predicții: 60
{'😣', '🎵', '🧠', '👨', '❄', '🎮', '😩', '🔥', '😴', '☀', '📂', '😵', '😂', '🌊', '😋', '😎', '❤', '📉', '📺', '💡', '🍕', '😕', '🍰', '⚡', '😭', '🎁', '✈', '📚', '😄', '☕', '🏙', '🤤', '🎉', '🏖', '🏔', '🌧', '👍', '\u200d', '😢', '🤧', '👧', '💔', '👩', '😊', '⭐', '🥶', '️', '😍', '✨', '💨', '💪', '🧪', '🍽', '😔', '😞', '💌', '🤕', '📘', '🌞', '🎬'}

===============================
        GLOBAL METRICI
===============================

Exact Match         : 0.3250
Emoji F1            : 0.9931
Jaccard             : 1.0000
Avg Levenshtein     : 1.4850
Avg Length Diff     : 0.0550
BLEU                : 0.0000
ChrF                : 26.2827

===============================
        STATISTICI AVANSATE
===============================

Lungimi predicții:
Avg True Len        : 2.7200
Avg Pred Len        : 2.6650
Std True Len        : 0.8784
Std Pred Len        : 0.7699

Under/Over-generation:
Under-generate      : 0.0550
Over-generate       : 0.0000
Equal length        : 0.9450

Top 20 emoji în TRUE:
[('️', 74), ('😊', 45), ('❤', 28), ('😄', 22), ('😍', 18), ('🤕', 13), ('🎉', 12), ('😩', 11), ('🔥', 11), ('😎', 11), ('💡', 11), ('✨', 10), ('😔', 10), ('😂', 9), ('🎬', 9), ('💨', 9), ('😣', 9), ('😢', 9), ('💔', 9), ('🏔', 8)]

Top 20 emoji în PRED:
[('️', 66), ('😊', 45), ('❤', 28), ('😄', 22), ('😍', 18), ('🤕', 13), ('🎉', 12), ('😩', 11), ('🔥', 11), ('😎', 11), ('💡', 11), ('✨', 10), ('😔', 10), ('🎬', 9), ('😂', 9), ('💨', 9), ('😣', 9), ('💔', 9), ('😢', 9), ('🏔', 8)]


true,pred,exact_match,emoji_f1,jaccard,levenshtein,len_true,len_pred,len_diff
🧪😊,😊🧪,0,1.0,1.0,2,2,2,0
😊😄✨,✨😄😊,0,1.0,1.0,2,3,3,0
💨😣,💨😣,1,1.0,1.0,0,2,2,0
☀️😎,☀️😎,1,1.0,1.0,0,3,3,0
🧪😊,😊🧪,0,1.0,1.0,2,2,2,0
💨😣,💨😣,1,1.0,1.0,0,2,2,0
🤕😴,😴🤕,0,1.0,1.0,2,2,2,0
😢💔,💔😢,0,1.0,1.0,2,2,2,0
🤕😴,😴🤕,0,1.0,1.0,2,2,2,0
🍰😋,🍰😋,1,1.0,1.0,0,2,2,0
📚😵,📚😵,1,1.0,1.0,0,2,2,0
🏖️🌊😎,️🌊🏖😎,0,1.0,1.0,2,4,4,0
📚😵,📚😵,1,1.0,1.0,0,2,2,0
✈️👍,✈️👍,1,1.0,1.0,0,3,3,0
💪😄🔥,💪🔥😄,0,1.0,1.0,2,3,3,0
❤️😊,❤️😊,1,1.0,1.0,0,3,3,0
💡📘😊,💡📘😊,1,1.0,1.0,0,3,3,0
💨😣,💨😣,1,1.0,1.0,0,2,2,0
🤕😞,😞🤕,0,1.0,1.0,2,2,2,0
❤️😊,❤️😊,1,1.0,1.0,0,3,3,0
💨😣,💨😣,1,1.0,1.0,0,2,2,0
❄️😊,❄️😊,1,1.0,1.0,0,3,3,0
🍕🤤😍,🍕😍🤤,0,1.0,1.0,2,3,3,0
😩😔,😔😩,0,1.0,1.0,2,2,2,0
😂🎬,🎬😂,0,1.0,1.0,2,2,2,0
🏔️❤️,❤️🏔,0,0.8571428571428571,1.0,3,4,3,1
💡⚡😊,⚡💡😊,0,1.0,1.0,2,3,3,0
🧪😊,😊🧪,0,1.0,1.0,2,2,2,0
❄️😊,❄️😊,1,1.0,1.0,0,3,3,0
🍰😋,🍰😋,1,1.0,1.0,0,2,2,0
🎉😊💌,🎉💌😊,0,1.0,1.0,2,3,3,0
🎉😊💌,🎉💌😊,0,1.0,1.0,2,3,3,0
💪😄🔥,💪🔥😄,0,1.0,1.0,2,3,3,0
🍕🤤😍,🍕😍🤤,0,1.0,1.0,2,3,3,0
🎵🔥😍,🎵🔥😍,1,1.0,1.0,0,3,3,0
📂🎉,🎉📂,0,1.0,1.0,2,2,2,0
😂🎬,🎬😂,0,1.0,1.0,2,2,2,0
💨😣,💨😣,1,1.0,1.0,0,2,2,0
☀️😎,☀️😎,1,1.0,1.0,0,3,3,0
🌧️😕,️🌧😕,0,1.0,1.0,2,3,3,0
🧠😩,😩🧠,0,1.0,1.0,2,2,2,0
😭📉,📉😭,0,1.0,1.0,2,2,2,0
🎁❤️,❤️🎁,0,1.0,1.0,2,3,3,0
☕😍,☕😍,1,1.0,1.0,0,2,2,0
💨😣,💨😣,1,1.0,1.0,0,2,2,0
😂🎬,🎬😂,0,1.0,1.0,2,2,2,0
😢💔,💔😢,0,1.0,1.0,2,2,2,0
🎮⭐,⭐🎮,0,1.0,1.0,2,2,2,0
🧠😩,😩🧠,0,1.0,1.0,2,2,2,0
🤕😴,😴🤕,0,1.0,1.0,2,2,2,0
🏖️🌊😎,️🌊🏖😎,0,1.0,1.0,2,4,4,0
📂🎉,🎉📂,0,1.0,1.0,2,2,2,0
💡📘😊,💡📘😊,1,1.0,1.0,0,3,3,0
🏙️✨😊,✨️🏙😊,0,1.0,1.0,2,4,4,0
☕😍,☕😍,1,1.0,1.0,0,2,2,0
🤕😞,😞🤕,0,1.0,1.0,2,2,2,0
😢💔,💔😢,0,1.0,1.0,2,2,2,0
🍕🤤😍,🍕😍🤤,0,1.0,1.0,2,3,3,0
😢💔,💔😢,0,1.0,1.0,2,2,2,0
🏖️🌊😎,️🌊🏖😎,0,1.0,1.0,2,4,4,0
☕😍,☕😍,1,1.0,1.0,0,2,2,0
🌞😄❤️,❤️🌞😄,0,1.0,1.0,4,4,4,0
🏙️✨😊,✨️🏙😊,0,1.0,1.0,2,4,4,0
😊😄✨,✨😄😊,0,1.0,1.0,2,3,3,0
🏔️❤️,❤️🏔,0,0.8571428571428571,1.0,3,4,3,1
🍽️😄,️🍽😄,0,1.0,1.0,2,3,3,0
😭📉,📉😭,0,1.0,1.0,2,2,2,0
💨😣,💨😣,1,1.0,1.0,0,2,2,0
🤕😞,😞🤕,0,1.0,1.0,2,2,2,0
☕😍,☕😍,1,1.0,1.0,0,2,2,0
❤️👨‍👩‍👧,‍❤️👧👨👩,0,0.923076923076923,1.0,5,7,6,1
🧪😊,😊🧪,0,1.0,1.0,2,2,2,0
🌧️😕,️🌧😕,0,1.0,1.0,2,3,3,0
💡⚡😊,⚡💡😊,0,1.0,1.0,2,3,3,0
🤕😞,😞🤕,0,1.0,1.0,2,2,2,0
🏖️🌊😎,️🌊🏖😎,0,1.0,1.0,2,4,4,0
💪😄🔥,💪🔥😄,0,1.0,1.0,2,3,3,0
🎉😊💌,🎉💌😊,0,1.0,1.0,2,3,3,0
🤕😞,😞🤕,0,1.0,1.0,2,2,2,0
🤕😴,😴🤕,0,1.0,1.0,2,2,2,0
❤️👨‍👩‍👧,‍❤️👧👨👩,0,0.923076923076923,1.0,5,7,6,1
😢💔,💔😢,0,1.0,1.0,2,2,2,0
😩😔,😔😩,0,1.0,1.0,2,2,2,0
❤️😔,❤️😔,1,1.0,1.0,0,3,3,0
💡📘😊,💡📘😊,1,1.0,1.0,0,3,3,0
📚😵,📚😵,1,1.0,1.0,0,2,2,0
🎵🔥😍,🎵🔥😍,1,1.0,1.0,0,3,3,0
😩😔,😔😩,0,1.0,1.0,2,2,2,0
💪😄🔥,💪🔥😄,0,1.0,1.0,2,3,3,0
🎉😊💌,🎉💌😊,0,1.0,1.0,2,3,3,0
❤️😔,❤️😔,1,1.0,1.0,0,3,3,0
📂🎉,🎉📂,0,1.0,1.0,2,2,2,0
🏔️❤️,❤️🏔,0,0.8571428571428571,1.0,3,4,3,1
😩😔,😔😩,0,1.0,1.0,2,2,2,0
✈️👍,✈️👍,1,1.0,1.0,0,3,3,0
😭📉,📉😭,0,1.0,1.0,2,2,2,0
😂🎬,🎬😂,0,1.0,1.0,2,2,2,0
☕😍,☕😍,1,1.0,1.0,0,2,2,0
💨😣,💨😣,1,1.0,1.0,0,2,2,0
🌧️😕,️🌧😕,0,1.0,1.0,2,3,3,0
🍰😋,🍰😋,1,1.0,1.0,0,2,2,0
🏔️❤️,❤️🏔,0,0.8571428571428571,1.0,3,4,3,1
☀️😎,☀️😎,1,1.0,1.0,0,3,3,0
📂🎉,🎉📂,0,1.0,1.0,2,2,2,0
📚😵,📚😵,1,1.0,1.0,0,2,2,0
🏖️🌊😎,️🌊🏖😎,0,1.0,1.0,2,4,4,0
💡⚡😊,⚡💡😊,0,1.0,1.0,2,3,3,0
🧠😩,😩🧠,0,1.0,1.0,2,2,2,0
🏖️🌊😎,️🌊🏖😎,0,1.0,1.0,2,4,4,0
💡⚡😊,⚡💡😊,0,1.0,1.0,2,3,3,0
🤧🥶,🤧🥶,1,1.0,1.0,0,2,2,0
😢💔,💔😢,0,1.0,1.0,2,2,2,0
📚😵,📚😵,1,1.0,1.0,0,2,2,0
🏖️🌊😎,️🌊🏖😎,0,1.0,1.0,2,4,4,0
🤕😴,😴🤕,0,1.0,1.0,2,2,2,0
😂🎬,🎬😂,0,1.0,1.0,2,2,2,0
💡📘😊,💡📘😊,1,1.0,1.0,0,3,3,0
🌞😄❤️,❤️🌞😄,0,1.0,1.0,4,4,4,0
😂🎬,🎬😂,0,1.0,1.0,2,2,2,0
🎵🔥😍,🎵🔥😍,1,1.0,1.0,0,3,3,0
❤️😊,❤️😊,1,1.0,1.0,0,3,3,0
😢💔,💔😢,0,1.0,1.0,2,2,2,0
😢💔,💔😢,0,1.0,1.0,2,2,2,0
🤧🥶,🤧🥶,1,1.0,1.0,0,2,2,0
🎁❤️,❤️🎁,0,1.0,1.0,2,3,3,0
🌞😄❤️,❤️🌞😄,0,1.0,1.0,4,4,4,0
📺😄,📺😄,1,1.0,1.0,0,2,2,0
🍰😋,🍰😋,1,1.0,1.0,0,2,2,0
😢💔,💔😢,0,1.0,1.0,2,2,2,0
🍕🤤😍,🍕😍🤤,0,1.0,1.0,2,3,3,0
